code,city,state,country
ALC, ALCAN, AK             ,US
ANC, ANCHORAGE, AK         ,US
BAR, BAKER AAF - BAKER ISLAND, AK,US
DAC, DALTONS CACHE, AK     ,US
PIZ, DEW STATION PT LAY DEW, AK,US
DTH, DUTCH HARBOR, AK      ,US
EGL, EAGLE, AK             ,US
FRB, FAIRBANKS, AK         ,US
HOM, HOMER, AK                        ,US
HYD, HYDER, AK             ,US
JUN, JUNEAU, AK            ,US
5KE, KETCHIKAN, AK,US
KET, KETCHIKAN, AK         ,US
MOS, MOSES POINT INTERMEDIATE, AK,US
NIK, NIKISKI, AK           ,US
NOM, NOM, AK               ,US
PKC, POKER CREEK, AK       ,US
ORI, PORT LIONS SPB, AK,US
SKA, SKAGWAY, AK           ,US
SNP, ST. PAUL ISLAND, AK,US
TKI, TOKEEN, AK,US
WRA, WRANGELL, AK          ,US
HSV, MADISON COUNTY - HUNTSVILLE, AL,US
MOB, MOBILE, AL            ,US
LIA, LITTLE ROCK, AR,US
ROG, ROGERS ARPT, AR,US
DOU, DOUGLAS, AZ           ,US
LUK, LUKEVILLE, AZ         ,US
MAP, MARIPOSA  ,AZ,US
NAC, NACO, AZ              ,US
NOG, NOGALES, AZ           ,US
PHO, PHOENIX, AZ           ,US
POR, PORTAL, AZ,US
SLU, SAN LUIS, AZ          ,US
SAS, SASABE, AZ            ,US
TUC, TUCSON, AZ            ,US
YUI, YUMA, AZ               ,US
AND, ANDRADE, CA           ,US
BUR, BURBANK, CA,US
CAL, CALEXICO, CA          ,US
CAO, CAMPO, CA              ,US
FRE, FRESNO, CA            ,US
ICP, IMPERIAL COUNTY, CA   ,US
LNB, LONG BEACH, CA         ,US
LOS, LOS ANGELES, CA       ,US
BFL, MEADOWS FIELD - BAKERSFIELD, CA,US
OAK, OAKLAND, CA  ,US
ONT, ONTARIO, CA,US
OTM, OTAY MESA, CA          ,US
BLT, PACIFIC HWY. STATION, CA ,US
PSP, PALM SPRINGS, CA,US
SAC, SACRAMENTO, CA        ,US
SLS, SALINAS, CA,US
SDP, SAN DIEGO, CA,US
SFR, SAN FRANCISCO, CA     ,US
SNJ, SAN JOSE, CA          ,US
SLO, SAN LUIS OBISPO, CA   ,US
SLI, SAN LUIS OBISPO, CA,US
SPC, SAN PEDRO, CA         ,US
SYS, SAN YSIDRO, CA        ,US
SAA, SANTA ANA, CA         ,US
STO, STOCKTON, CA,US
TEC, TECATE, CA            ,US
TRV, TRAVIS-AFB, CA        ,US
APA, ARAPAHOE COUNTY, CO,US
ASE, ASPEN, CO,US
COS, COLORADO SPRINGS, CO,US
DEN, DENVER, CO            ,US
DRO, LA PLATA - DURANGO, CO,US
BDL, BRADLEY INTERNATIONAL, CT,US
BGC, BRIDGEPORT, CT        ,US
GRT, GROTON, CT            ,US
HAR, HARTFORD, CT          ,US
NWH, NEW HAVEN, CT         ,US
NWL, NEW LONDON, CT        ,US
TST, NEWINGTON DATA CENTER TEST, CT,US
WAS, WASHINGTON DC, DC         ,US
DOV, DOVER AFB, DE,US
DVD, DOVER-AFB, DE         ,US
WLL, WILMINGTON, DE        ,US
BOC, BOCAGRANDE, FL        ,US
SRQ, BRADENTON - SARASOTA, FL,US
CAN, CAPE CANAVERAL, FL    ,US
DAB, DAYTONA BEACH INTERNATIONAL, FL,US
FRN, FERNANDINA, FL        ,US
FTL, FORT LAUDERDALE, FL   ,US
FMY, FORT MYERS, FL        ,US
FPF, FORT PIERCE, FL       ,US
HUR, HURLBURT FIELD, FL,US
GNV, J R ALISON MUNI - GAINESVILLE, FL,US
JAC, JACKSONVILLE, FL      ,US
KEY, KEY WEST, FL          ,US
LEE, LEESBURG MUNICIPAL AIRPORT, FL,US
MLB, MELBOURNE, FL,US
MIA, MIAMI, FL             ,US
APF, NAPLES, FL,US
OPF, OPA LOCKA, FL,US
ORL, ORLANDO, FL           ,US
PAN, PANAMA CITY, FL       ,US
PEN, PENSACOLA, FL         ,US
PCF, PORT CANAVERAL, FL    ,US
PEV, PORT EVERGLADES, FL   ,US
PSJ, PORT ST JOE, FL       ,US
SFB, SANFORD, FL           ,US
SGJ, ST AUGUSTINE ARPT, FL,US
SAU, ST AUGUSTINE, FL      ,US
FPR, ST LUCIE COUNTY, FL,US
SPE, ST PETERSBURG, FL     ,US
TAM, TAMPA, FL             ,US
WPB, WEST PALM BEACH, FL   ,US
ATL, ATLANTA, GA           ,US
BRU, BRUNSWICK, GA         ,US
AGS, BUSH FIELD - AUGUSTA, GA,US
SAV, SAVANNAH, GA          ,US
AGA, AGANA, GU             ,US
HHW, HONOLULU, HI          ,US
OGG, KAHULUI - MAUI, HI,US
KOA, KEAHOLE-KONA, HI      ,US
LIH, LIHUE, HI             ,US
CID, CEDAR RAPIDS/IOWA CITY, IA,US
DSM, DES MOINES, IA,US
BOI, AIR TERM. (GOWEN FLD) BOISE, ID,US
EPI, EASTPORT, ID          ,US
IDA, FANNING FIELD - IDAHO FALLS, ID,US
PTL, PORTHILL, ID          ,US
SPI, CAPITAL - SPRINGFIELD, IL,US
CHI, CHICAGO, IL           ,US
DPA, DUPAGE COUNTY, IL,US
PIA, GREATER PEORIA, IL,US
RFD, GREATER ROCKFORD, IL,US
UGN, MEMORIAL - WAUKEGAN, IL,US
GAR, GARY, IN              ,US
HMM, HAMMOND, IN           ,US
INP, INDIANAPOLIS, IN      ,US
MRL, MERRILLVILLE, IN      ,US
SBN, SOUTH BEND, IN,US
ICT, MID-CONTINENT - WITCHITA, KS,US
LEX, BLUE GRASS - LEXINGTON, KY,US
LOU, LOUISVILLE, KY        ,US
BTN, BATON ROUGE, LA       ,US
LKC, LAKE CHARLES, LA      ,US
LAK, LAKE CHARLES, LA,US
MLU, MONROE, LA,US
MGC, MORGAN CITY, LA       ,US
NOL, NEW ORLEANS, LA       ,US
BOS, BOSTON, MA            ,US
GLO, GLOUCESTER, MA        ,US
BED, HANSCOM FIELD - BEDFORD, MA,US
LYN, LYNDEN, WA            ,US
ADW, ANDREWS AFB, MD,US
BAL, BALTIMORE, MD         ,US
MKG, MUSKEGON, MD,US
PAX, PATUXENT RIVER, MD    ,US
BGM, BANGOR, ME            ,US
BOO, BOOTHBAY HARBOR, ME   ,US
BWM, BRIDGEWATER, ME       ,US
BCK, BUCKPORT, ME          ,US
CLS, CALAIS, ME   ,US
CRB, CARIBOU, ME           ,US
COB, COBURN GORE, ME       ,US
EST, EASTCOURT, ME         ,US
EPT, EASTPORT MUNICIPAL, ME,US
EPM, EASTPORT, ME          ,US
FOR, FOREST CITY, ME       ,US
FTF, FORT FAIRFIELD, ME    ,US
FTK, FORT KENT, ME         ,US
HML, HAMIIN, ME            ,US
HTM, HOULTON, ME           ,US
JKM, JACKMAN, ME           ,US
KAL, KALISPEL, MT          ,US
LIM, LIMESTONE, ME         ,US
LUB, LUBEC, ME             ,US
MAD, MADAWASKA, ME         ,US
POM, PORTLAND, ME          ,US
RGM, RANGELEY, ME,US
SBR, SOUTH BREWER, ME      ,US
SRL, ST AURELIE, ME        ,US
SPA, ST PAMPILE, ME        ,US
VNB, VAN BUREN, ME         ,US
VCB, VANCEBORO, ME         ,US
AGN, ALGONAC, MI           ,US
ALP, ALPENA, MI            ,US
BCY, BAY CITY, MI          ,US
DET, DETROIT, MI           ,US
GRP, GRAND RAPIDS, MI,US
GRO, GROSSE ISLE, MI       ,US
ISL, ISLE ROYALE, MI       ,US
MRC, MARINE CITY, MI       ,US
MRY, MARYSVILLE, MI        ,US
PTK, OAKLAND COUNTY - PONTIAC, MI,US
PHU, PORT HURON, MI        ,US
RBT, ROBERTS LANDING, MI   ,US
SAG, SAGINAW, MI           ,US
SSM, SAULT STE. MARIE, MI  ,US
SCL, ST CLAIR, MI          ,US
YIP, WILLOW RUN - YPSILANTI, MI,US
BAU, BAUDETTE, MN          ,US
CAR, CARIBOU MUNICIPAL AIRPORT, MN,US
GTF, Collapsed into INT, MN,US
INL, Collapsed into INT, MN,US
CRA, CRANE LAKE, MN        ,US
MIC, CRYSTAL MUNICIPAL AIRPORT, MN,US
DUL, DULUTH, MN            ,US
ELY, ELY, MN               ,US
GPM, GRAND PORTAGE, MN     ,US
SVC, GRANT COUNTY - SILVER CITY, MN,US
INT, INTL FALLS, MN      ,US
LAN, LANCASTER, MN         ,US
MSP, MINN./ST PAUL, MN     ,US
LIN, NORTHERN SVC CENTER, MN   ,US
NOY, NOYES, MN             ,US
PIN, PINE CREEK, MN        ,US
48Y, PINECREEK BORDER ARPT, MN,US
RAN, RAINER, MN            ,US
RST, ROCHESTER, MN,US
ROS, ROSEAU, MN            ,US
SPM, ST PAUL, MN           ,US
WSB, WARROAD INTL SPB, MN,US
WAR, WARROAD, MN           ,US
KAN, KANSAS CITY, MO       ,US
SGF, SPRINGFIELD-BRANSON, MO,US
STL, ST LOUIS, MO          ,US
WHI, WHITETAIL, MT         ,US
WHM, WILD HORSE, MT        ,US
GPT, BILOXI REGIONAL, MS,US
GTR, GOLDEN TRIANGLE LOWNDES CNTY, MS,US
GUL, GULFPORT, MS          ,US
PAS, PASCAGOULA, MS        ,US
JAN, THOMPSON FIELD - JACKSON, MS,US
BIL, BILLINGS, MT          ,US
BTM, BUTTE, MT             ,US
CHF, CHIEF MT, MT          ,US
CTB, CUT BANK MUNICIPAL, MT,US
CUT, CUT BANK, MT          ,US
DLB, DEL BONITA, MT        ,US
EUR, EUREKA, MT,US
BZN, GALLATIN FIELD - BOZEMAN, MT,US
FCA, GLACIER NATIONAL PARK, MT,US
GGW, GLASGOW, MT           ,US
GRE, GREAT FALLS, MT       ,US
HVR, HAVRE, MT             ,US
HEL, HELENA, MT            ,US
LWT, LEWISTON, MT          ,US
MGM, MORGAN, MT            ,US
OPH, OPHEIM, MT            ,US
PIE, PIEGAN, MT            ,US
RAY, RAYMOND, MT           ,US
ROO, ROOSVILLE, MT         ,US
SCO, SCOBEY, MT            ,US
SWE, SWEETGTASS, MT        ,US
TRL, TRIAL CREEK, MT       ,US
TUR, TURNER, MT            ,US
WCM, WILLOW CREEK, MT      ,US
CLT, CHARLOTTE, NC         ,US
FAY, FAYETTEVILLE, NC,US
MRH, MOREHEAD CITY, NC     ,US
FOP, MORRIS FIELDS AAF, NC,US
GSO, PIEDMONT TRIAD INTL AIRPORT, NC,US
RDU, RALEIGH/DURHAM, NC    ,US
SSC, SHAW AFB - SUMTER, NC,US
WIL, WILMINGTON, NC        ,US
AMB, AMBROSE, ND           ,US
ANT, ANTLER, ND            ,US
CRY, CARBURY, ND           ,US
DNS, DUNSEITH, ND          ,US
FAR, FARGO, ND             ,US
FRT, FORTUNA, ND           ,US
GRF, GRAND FORKS, ND       ,US
HNN, HANNAH, ND            ,US
HNS, HANSBORO, ND          ,US
MAI, MAIDA, ND             ,US
MND, MINOT, ND             ,US
NEC, NECHE, ND             ,US
NOO, NOONAN, ND            ,US
NRG, NORTHGATE, ND         ,US
PEM, PEMBINA, ND           ,US
SAR, SARLES, ND            ,US
SHR, SHERWOOD, ND          ,US
SJO, ST JOHN, ND           ,US
WAL, WALHALLA, ND          ,US
WHO, WESTHOPE, ND          ,US
WND, WILLISTON, ND         ,US
OMA, OMAHA, NE             ,US
LEB, LEBANON, NH           ,US
MHT, MANCHESTER, NH,US
PNH, PITTSBURG, NH         ,US
PSM, PORTSMOUTH, NH        ,US
BYO, BAYONNE, NJ           ,US
CNJ, CAMDEN, NJ            ,US
HOB, HOBOKEN, NJ           ,US
JER, JERSEY CITY, NJ       ,US
WRI, MC GUIRE AFB - WRIGHTSOWN, NJ,US
MMU, MORRISTOWN, NJ,US
NEW, NEWARK/TETERBORO, NJ  ,US
PER, PERTH AMBOY, NJ       ,US
ACY, POMONA FIELD - ATLANTIC CITY, NJ,US
ALA, ALAMAGORDO, NM,US
ABQ, ALBUQUERQUE, NM       ,US
ANP, ANTELOPE WELLS, NM    ,US
CRL, CARLSBAD, NM          ,US
COL, COLUMBUS, NM          ,US
CDD, CRANE LAKE - ST. LOUIS CNTY, NM,US
DNM, DEMING, NM,US
LAS, LAS CRUCES, NM        ,US
LOB, LORDSBURG, NM,US
RUI, RUIDOSO, NM,US
STR, SANTA TERESA, NM      ,US
RNO, CANNON INTL - RENO/TAHOE, NV,US
FLX, FALLON MUNICIPAL AIRPORT, NV,US
